"monoculture","no3","plight","litbiomass","year","month","day","dayofyear","plot","subplot","abvbiomass","totaln","exp","yearest","atissN","age","fg"
"Agropyron repens",0.07,0.9542,4.75,1988,7,27,208,3,13,22.25,0.00783,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.101,0.9425,1.275,1988,7,27,208,3,23,14.025,0.007622,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.234,0.9072,1.2,1988,7,27,208,3,30,15.9,0.007894,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.261,0.274,1.5,1988,7,27,208,3,31,51,0.007602,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.157,0.917,0,1988,7,27,208,3,32,67.25,0.00807,"e026",1985,NA,3,"C3"
"Andropogon gerardi",0.219,0.29,2.75,1988,7,27,208,3,36,15.625,0.008407,"e026",1985,NA,3,"C4"
"Poa pratensis",0.214,0.9784,2.75,1988,7,27,208,3,37,28.275,0.009341,"e026",1985,NA,3,"C3"
"Schizachyrium scoparium",0.145,0.9744,10.3,1988,7,27,208,3,38,28.375,0.009353,"e026",1985,NA,3,"C4"
"Schizachyrium scoparium",0.012,0.968,25.25,1988,7,27,208,3,50,60,0.010925,"e026",1985,NA,3,"C4"
"Agrostis scabra",0.178,0.256,11,1988,7,27,208,3,52,26.3,0.012725,"e026",1985,NA,3,"C3"
"Agropyron repens",0.076,0.0133333333,4.025,1988,7,28,209,3,57,14.1,0.008772,"e026",1985,NA,3,"C3"
"Agropyron repens",0.099,0.46,14.825,1988,7,29,210,6,1,30.95,0.021704,"e026",1985,NA,3,"C3"
"Agropyron repens",0.32,0.306,9.25,1988,7,29,210,6,2,43.5,0.022553,"e026",1985,NA,3,"C3"
"Schizachyrium scoparium",0.015,0.47975,12.15,1988,7,29,210,6,13,88.025,0.018761,"e026",1985,NA,3,"C4"
"Agrostis scabra",0.601,0.39,4.725,1988,7,29,210,6,16,109.675,0.019664,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.006,0.46075,26,1988,7,12,193,6,17,66.5,0.021856,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.605,0.2843333333,8.9,1988,7,29,210,6,20,157,0.022573,"e026",1985,NA,3,"C3"
"Andropogon gerardi",0.318,0.3023333333,0,1988,7,29,210,6,21,13,0.016009,"e026",1985,NA,3,"C4"
"Schizachyrium scoparium",0.008,0.4845,14.175,1988,7,12,193,6,25,84,0.020208,"e026",1985,NA,3,"C4"
"Agrostis scabra",0.005,0.4585,13.75,1988,7,12,193,6,26,45.75,0.022693,"e026",1985,NA,3,"C3"
"Agropyron repens",0.087,0.44625,4.25,1988,7,29,210,6,29,23.075,0.021173,"e026",1985,NA,3,"C3"
"Agropyron repens",0.101,0.49275,16.425,1988,7,29,210,6,31,17.25,0.025157,"e026",1985,NA,3,"C3"
"Schizachyrium scoparium",0.01,0.4525,15.4,1988,7,29,210,6,35,61.525,0.020049,"e026",1985,NA,3,"C4"
"Agropyron repens",0.025,0.4435,10.05,1988,7,29,210,6,42,14.15,0.019458,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.34,0.43825,6,1988,7,29,210,6,46,30,0.019353,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.2,0.377,0,1988,7,12,193,6,48,72.75,0.020461,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.219,0.245,13.75,1988,7,29,210,6,51,62.25,0.019971,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.215,0.379,7.6,1988,7,29,210,6,52,92.8,0.020131,"e026",1985,NA,3,"C3"
"Agropyron repens",0.105,0.0133333333,14.75,1988,7,28,209,9,2,41.75,0.043594,"e026",1985,NA,3,"C3"
"Poa pratensis",0.049,0.5102,18.5,1988,7,28,209,9,12,43,0.038711,"e026",1985,NA,3,"C3"
"Poa pratensis",0.081,0.4736,21.25,1988,7,28,209,9,40,38.75,0.045331,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.159,0.8202,6.95,1988,7,28,209,9,53,41.025,0.039693,"e026",1985,NA,3,"C3"
"Agropyron repens",0.249,0.8712,18.975,1988,7,28,209,9,59,66.225,0.035538,"e026",1985,NA,3,"C3"
"Agropyron repens",0.261,0.88725,13.75,1988,7,28,209,9,62,21.5,0.028088,"e026",1985,NA,3,"C3"
"Andropogon gerardi",0.139,0.276,19.25,1988,7,28,209,9,64,32.25,0.036435,"e026",1985,NA,3,"C4"
"Agropyron repens",0.109,0.0133333333,20.75,1988,7,28,209,10,35,59.75,0.054307,"e026",1985,NA,3,"C3"
"Agrostis scabra",0.2441,NA,22.5,1990,6,25,176,2,8,146.75,0.02209,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.3293,NA,21.475,1990,6,25,176,2,11,119.25,0.024648,"e026",1985,NA,5,"C3"
"Agropyron repens",0.2946,NA,20.3,1990,6,25,176,2,22,25.725,0.0243,"e026",1985,NA,5,"C3"
"Agropyron repens",0.1896,NA,24.25,1990,6,25,176,2,23,25,0.02266,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.3621,NA,23.525,1990,6,25,176,2,36,31.15,0.02259,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.1821,NA,9.225,1990,6,25,176,2,56,85.475,0.02104,"e026",1985,NA,5,"C3"
"Schizachyrium scoparium",0.057,NA,12,1990,6,25,176,3,1,19.25,0.009002,"e026",1985,NA,5,"C4"
"Poa pratensis",0.0697,NA,14.75,1990,6,25,176,3,8,30,0.009006,"e026",1985,NA,5,"C3"
"Agropyron repens",0.1245,NA,24.625,1990,6,25,176,3,9,17.6,0.00796,"e026",1985,NA,5,"C3"
"Andropogon gerardi",0.1066,NA,9,1990,6,25,176,3,11,15,0.008133,"e026",1985,NA,5,"C4"
"Agropyron repens",0.111,NA,21,1990,6,25,176,3,12,25.5,0.00803,"e026",1985,NA,5,"C3"
"Agropyron repens",0.0948,NA,11.725,1990,6,25,176,3,13,15,0.00783,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.1933,NA,18,1990,6,25,176,3,23,43.5,0.007622,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.2211,NA,9.5,1990,6,25,176,3,31,11.75,0.007602,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.0795,NA,7.75,1990,6,25,176,3,32,22.5,0.00807,"e026",1985,NA,5,"C3"
"Poa pratensis",0.0934,NA,18.25,1990,6,25,176,3,37,40.25,0.009341,"e026",1985,NA,5,"C3"
"Schizachyrium scoparium",0.0516,NA,18.25,1990,6,25,176,3,38,24,0.009353,"e026",1985,NA,5,"C4"
"Agrostis scabra",0.1417,NA,10.35,1990,6,25,176,3,51,23.025,0.011824,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.1971,NA,13.5,1990,6,25,176,3,52,79.5,0.012725,"e026",1985,NA,5,"C3"
"Agropyron repens",0.1161,NA,16.75,1990,6,25,176,3,57,18,0.008772,"e026",1985,NA,5,"C3"
"Agropyron repens",0.0984,NA,24.225,1990,6,25,176,6,1,30.45,0.021704,"e026",1985,NA,5,"C3"
"Agropyron repens",0.1885,NA,23.5,1990,6,25,176,6,2,42,0.022553,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.0991,NA,14.5,1990,6,25,176,6,16,170.75,0.019664,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.0816,NA,17.25,1990,6,25,176,6,20,44.85,0.022573,"e026",1985,NA,5,"C3"
"Andropogon gerardi",0.1275,NA,12.75,1990,6,25,176,6,21,28,0.016009,"e026",1985,NA,5,"C4"
"Agropyron repens",0.1739,NA,26.5,1990,6,25,176,6,29,26.75,0.021173,"e026",1985,NA,5,"C3"
"Agropyron repens",0.0954,NA,13,1990,6,25,176,6,31,19,0.025157,"e026",1985,NA,5,"C3"
"Agropyron repens",0.1555,NA,8.75,1990,6,25,176,6,42,30.5,0.019458,"e026",1985,NA,5,"C3"
"Andropogon gerardi",0.1309,NA,22.25,1990,6,25,176,6,44,26.5,0.019692,"e026",1985,NA,5,"C4"
"Agrostis scabra",0.1772,NA,20.075,1990,6,25,176,6,46,133.5,0.019353,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.2036,NA,25.75,1990,6,25,176,9,17,30.5,0.035981,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.221,NA,10,1990,6,25,176,10,9,31.75,0.053624,"e026",1985,NA,5,"C3"
"Agrostis scabra",0.2576,NA,23,1990,6,25,176,10,10,112.5,0.044795,"e026",1985,NA,5,"C3"
"Agropyron repens",0.233,NA,26,1990,6,25,176,10,60,40.5,0.032735,"e026",1985,NA,5,"C3"
"Agropyron repens",NA,NA,23.75,1992,NA,NA,NA,2,20,20.25,0.021467,"e026",1985,NA,7,"C3"
"Agrostis scabra",NA,NA,14,1992,NA,NA,NA,2,36,125,0.02259,"e026",1985,NA,7,"C3"
"Agropyron repens",NA,NA,10.5,1992,NA,NA,NA,3,33,13.75,0.008424,"e026",1985,NA,7,"C3"
"Agropyron repens",NA,NA,18.5,1992,NA,NA,NA,6,31,28.5,0.025157,"e026",1985,NA,7,"C3"
"Agrostis scabra",NA,NA,19.25,1992,NA,NA,NA,6,46,35.25,0.019353,"e026",1985,NA,7,"C3"
"Agrostis scabra",NA,NA,8.5,1992,NA,NA,NA,6,51,33.5,0.019971,"e026",1985,NA,7,"C3"
"Agropyron repens",NA,NA,21,1992,NA,NA,NA,9,3,52.25,0.036069,"e026",1985,NA,7,"C3"
"Agrostis scabra",NA,NA,22.75,1992,NA,NA,NA,10,48,65.5,0.049201,"e026",1985,NA,7,"C3"
"Buchloe dactyloides",0.0695,NA,9.7,1992,6,22,173,5,2,46.399998,0.02266,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.0954,NA,9.7,1992,7,16,197,5,2,46.399998,0.02266,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.0991,NA,9.7,1992,8,4,216,5,2,46.399998,0.02266,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0351,NA,7.26,1992,6,22,173,5,5,47.84,0.0343,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0417,NA,7.26,1992,7,16,197,5,5,47.84,0.0343,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0812,NA,7.26,1992,8,4,216,5,5,47.84,0.0343,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0354,NA,9.16,1992,6,22,173,5,8,19.6,0.02274,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0252,NA,9.16,1992,7,16,197,5,8,19.6,0.02274,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0386,NA,9.16,1992,8,4,216,5,8,19.6,0.02274,"e055",1989,NA,3,"C4"
"Agropyron smithii",0.0653,NA,18.9,1992,6,22,173,5,10,29.98,0.02386,"e055",1989,NA,3,"C3"
"Agropyron smithii",0.071,NA,18.9,1992,7,16,197,5,10,29.98,0.02386,"e055",1989,NA,3,"C3"
"Agropyron smithii",0.1327,NA,18.9,1992,8,4,216,5,10,29.98,0.02386,"e055",1989,NA,3,"C3"
"Andropogon gerardi",0.0256,NA,7.58,1992,6,22,173,5,18,30.880001,0.03124,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.4397,NA,7.58,1992,7,16,197,5,18,30.880001,0.03124,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.0528,NA,7.58,1992,8,4,216,5,18,30.880001,0.03124,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0239,NA,2.66,1992,6,22,173,5,19,43.899998,0.02326,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0348,NA,2.66,1992,7,16,197,5,19,43.899998,0.02326,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0462,NA,2.66,1992,8,4,216,5,19,43.899998,0.02326,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0812,NA,2.72,1992,6,23,174,9,4,39.719997,0.02864,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0649,NA,2.72,1992,7,16,197,9,4,39.719997,0.02864,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0299,NA,2.72,1992,8,4,216,9,4,39.719997,0.02864,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0191,NA,2.52,1992,6,23,174,9,7,55.200001,0.03137,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0506,NA,2.52,1992,7,16,197,9,7,55.200001,0.03137,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0431,NA,2.52,1992,8,4,216,9,7,55.200001,0.03137,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.1171,NA,7.3,1992,6,23,174,9,8,37.84,0.04306,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.0611,NA,7.3,1992,7,16,197,9,8,37.84,0.04306,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.0546,NA,7.3,1992,8,4,216,9,8,37.84,0.04306,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0724,NA,6.7,1992,6,23,174,9,9,36.799999,0.03843,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0219,NA,6.7,1992,7,16,197,9,9,36.799999,0.03843,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0343,NA,6.7,1992,8,4,216,9,9,36.799999,0.03843,"e055",1989,NA,3,"C4"
"Agropyron smithii",0.1674,NA,7.18,1992,6,23,174,9,16,18.539999,0.04173,"e055",1989,NA,3,"C3"
"Agropyron smithii",0.0641,NA,7.18,1992,7,16,197,9,16,18.539999,0.04173,"e055",1989,NA,3,"C3"
"Agropyron smithii",0.0527,NA,7.18,1992,8,4,216,9,16,18.539999,0.04173,"e055",1989,NA,3,"C3"
"Andropogon gerardi",0.0756,NA,3.84,1992,6,23,174,9,22,74.840004,0.03294,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.0365,NA,3.84,1992,7,16,197,9,22,74.840004,0.03294,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.0074,NA,3.84,1992,8,4,216,9,22,74.840004,0.03294,"e055",1989,NA,3,"C4"
"Agropyron smithii",0.1163,NA,9.8,1992,6,23,174,13,5,66.5,0.04688,"e055",1989,NA,3,"C3"
"Agropyron smithii",0.058,NA,9.8,1992,7,16,197,13,5,66.5,0.04688,"e055",1989,NA,3,"C3"
"Agropyron smithii",0.0969,NA,9.8,1992,8,5,217,13,5,66.5,0.04688,"e055",1989,NA,3,"C3"
"Buchloe dactyloides",0.1207,NA,10.759999,1992,6,23,174,13,9,57.98,0.05851,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.0519,NA,10.759999,1992,7,16,197,13,9,57.98,0.05851,"e055",1989,NA,3,"C4"
"Buchloe dactyloides",0.0851,NA,10.759999,1992,8,5,217,13,9,57.98,0.05851,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0786,NA,10.52,1992,6,23,174,13,11,77.32,0.05918,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0671,NA,10.52,1992,7,16,197,13,11,77.32,0.05918,"e055",1989,NA,3,"C4"
"Schizachyrium scoparium",0.0151,NA,10.52,1992,8,5,217,13,11,77.32,0.05918,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0659,NA,11.86,1992,6,23,174,13,16,58.5,0.03804,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0316,NA,11.86,1992,7,16,197,13,16,58.5,0.03804,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.07,NA,11.86,1992,8,5,217,13,16,58.5,0.03804,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.044,NA,16.540001,1992,6,23,174,13,20,97.220001,0.04437,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.0234,NA,16.540001,1992,7,16,197,13,20,97.220001,0.04437,"e055",1989,NA,3,"C4"
"Andropogon gerardi",0.0704,NA,16.540001,1992,8,5,217,13,20,97.220001,0.04437,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0598,NA,26.18,1992,6,23,174,13,23,55.5,0.04681,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.0573,NA,26.18,1992,7,16,197,13,23,55.5,0.04681,"e055",1989,NA,3,"C4"
"Panicum virgatum",0.011,NA,26.18,1992,8,5,217,13,23,55.5,0.04681,"e055",1989,NA,3,"C4"
"Bouteloua gracilis",0.0673,NA,19.2,1996,7,11,192,5,5,54.7,0.0343,"e055",1989,NA,7,"C4"
"Panicum virgatum",0.2213,NA,160.2,1996,7,11,192,5,8,53.6,0.02274,"e055",1989,NA,7,"C4"
"Agropyron smithii",0.2329,NA,90,1996,7,11,192,5,10,32.2,0.02386,"e055",1989,NA,7,"C3"
"Andropogon gerardi",0.203,NA,22.8,1996,7,11,192,5,18,191.74,0.03124,"e055",1989,NA,7,"C4"
"Schizachyrium scoparium",0.1351,NA,25,1996,7,11,192,5,19,43.8,0.02326,"e055",1989,NA,7,"C4"
"Panicum virgatum",0.1935,NA,70.8,1996,7,11,192,9,4,173.2,0.02864,"e055",1989,NA,7,"C4"
"Schizachyrium scoparium",0.1059,NA,34.6,1996,7,11,192,9,7,43,0.03137,"e055",1989,NA,7,"C4"
"Buchloe dactyloides",0.1614,NA,4,1996,7,11,192,9,8,27.98,0.04306,"e055",1989,NA,7,"C4"
"Bouteloua gracilis",0.1272,NA,16.8,1996,7,11,192,9,9,24.16,0.03843,"e055",1989,NA,7,"C4"
"Agropyron smithii",0.316,NA,94.2,1996,7,11,192,9,16,118.4,0.04173,"e055",1989,NA,7,"C3"
"Andropogon gerardi",0.3367,NA,73.2,1996,7,11,192,9,22,225.82,0.03294,"e055",1989,NA,7,"C4"
"Agropyron smithii",0.27,NA,51.4,1996,7,11,192,13,5,41.6,0.04688,"e055",1989,NA,7,"C3"
"Buchloe dactyloides",0.1443,NA,19,1996,7,11,192,13,9,81.64,0.05851,"e055",1989,NA,7,"C4"
"Schizachyrium scoparium",0.1988,NA,28.6,1996,7,11,192,13,11,42.6,0.05918,"e055",1989,NA,7,"C4"
"Bouteloua gracilis",0.1845,NA,14.6,1996,7,11,192,13,16,51.88,0.03804,"e055",1989,NA,7,"C4"
"Andropogon gerardi",0.2094,NA,20.6,1996,7,11,192,13,20,80.92,0.04437,"e055",1989,NA,7,"C4"
"Panicum virgatum",0.0954,NA,27.4,1996,7,11,192,13,23,118.8,0.04681,"e055",1989,NA,7,"C4"
"Buchloe dactyloides",0.1068,0.85488,4.2,1999,8,25,237,5,2,21.8,0.02266,"e055",1989,NA,10,"C4"
"Bouteloua gracilis",0.0373,0.94109,2.4,1999,8,25,237,5,5,15.8,0.0343,"e055",1989,NA,10,"C4"
"Panicum virgatum",0.0612,0.70143,47.4,1999,8,25,237,5,8,50.5,0.02274,"e055",1989,NA,10,"C4"
"Andropogon gerardi",0.051,0.87532,12.9,1999,8,25,237,5,18,37.9,0.03124,"e055",1989,NA,10,"C4"
"Schizachyrium scoparium",0.0514,0.6867,15.6,1999,8,25,237,5,19,35.7,0.02326,"e055",1989,NA,10,"C4"
"Panicum virgatum",0.1085,0.63894,29.3,1999,8,25,237,9,4,93.7,0.02864,"e055",1989,NA,10,"C4"
"Schizachyrium scoparium",0.0576,0.59889,8.3,1999,8,25,237,9,7,103.8,0.03137,"e055",1989,NA,10,"C4"
"Buchloe dactyloides",0.0913,0.80543,4.9,1999,8,25,237,9,8,39,0.04306,"e055",1989,NA,10,"C4"
"Agropyron smithii",0.1305,0.77413,10.5,1999,8,25,237,9,16,20,0.04173,"e055",1989,NA,10,"C3"
"Andropogon gerardi",0.1174,0.74946,47.8,1999,8,25,237,9,22,61.7,0.03294,"e055",1989,NA,10,"C4"
"Buchloe dactyloides",0.1446,0.82459,5.5,1999,8,25,237,13,9,72.3,0.05851,"e055",1989,NA,10,"C4"
"Schizachyrium scoparium",0.1424,0.7227,20.6,1999,8,25,237,13,11,69.7,0.05918,"e055",1989,NA,10,"C4"
"Bouteloua gracilis",0.0686,0.85608,7.1,1999,8,25,237,13,16,54.1,0.03804,"e055",1989,NA,10,"C4"
"Andropogon gerardi",0.0779,0.73956,1.8,1999,8,25,237,13,20,40.4,0.04437,"e055",1989,NA,10,"C4"
"Panicum virgatum",0.1585,0.47925,15.5,1999,8,25,237,13,23,189,0.04681,"e055",1989,NA,10,"C4"
"Amorpha canescens",0.312,NA,NA,1998,8,NA,NA,5,26,787.1,0.009326869,"e055",1991,NA,7,"L"
"Lespedeza capitata",0.0898,NA,NA,1998,8,NA,NA,5,26,724.2,0.01797674,"e055",1991,NA,7,"L"
"Petalostemum purpureum",0.7495,NA,NA,1998,8,NA,NA,5,26,1547.6,0.008524598,"e055",1991,NA,7,"L"
"Amorpha canescens",0.3253,NA,NA,1998,8,NA,NA,9,24,364,0.02468176,"e055",1991,NA,7,"L"
"Lespedeza capitata",0.1824,NA,NA,1998,8,NA,NA,9,24,1921,0.03464335,"e055",1991,NA,7,"L"
"Petalostemum purpureum",0.4161,NA,NA,1998,8,NA,NA,9,24,1586,0.02914714,"e055",1991,NA,7,"L"
"Amorpha canescens",0.3033,NA,NA,1998,8,NA,NA,13,24,260.4,0.02869339,"e055",1991,NA,7,"L"
"Lespedeza capitata",0.1645,NA,NA,1998,8,NA,NA,13,24,1077.1,0.02763564,"e055",1991,NA,7,"L"
"Petalostemum purpureum",0.3852,NA,NA,1998,8,NA,NA,13,24,1246,0.03238924,"e055",1991,NA,7,"L"
"Koeleria cristata",0.26273,NA,NA,1997,7,14,195,1,0,32,0.0718992958,"e111",1992,0.0143261188,5,"C3"
"Koeleria cristata",0.1262,NA,NA,1997,8,25,237,1,0,32,0.0718992958,"e111",1992,0.0143261188,5,"C3"
"Solidago rigida",0.147768,NA,NA,1997,7,14,195,2,0,82.348,0.0718992958,"e111",1992,0.0098445,5,"F"
"Solidago rigida",0.045,NA,NA,1997,8,25,237,2,0,82.348,0.0718992958,"e111",1992,0.0098445,5,"F"
"Lupinus perennis",0.93933,NA,NA,1997,7,14,195,5.2,0,419.001,0.0718992958,"e111",1992,0.0115686976,5,"L"
"Lupinus perennis",0.7158,NA,NA,1997,8,25,237,5.2,0,419.001,0.0718992958,"e111",1992,0.0115686976,5,"L"
"Panicum virgatum",0.76594,NA,NA,1997,7,14,195,6,0,60.044,0.0718992958,"e111",1992,0.0120188081,5,"C4"
"Panicum virgatum",0.0797,NA,NA,1997,8,25,237,6,0,60.044,0.0718992958,"e111",1992,0.0120188081,5,"C4"
"Sorghastrum nutans",0.2807,NA,NA,1997,7,14,195,7,0,25.347,0.0718992958,"e111",1992,0.0099452797,5,"C4"
"Sorghastrum nutans",0.0441,NA,NA,1997,8,25,237,7,0,25.347,0.0718992958,"e111",1992,0.0099452797,5,"C4"
"Petalostemum purpureum",0.724794,NA,NA,1997,7,14,195,8.1,0,124.956,0.0718992958,"e111",1992,0.0237427207,5,"L"
"Petalostemum purpureum",0.1213,NA,NA,1997,8,25,237,8.1,0,124.956,0.0718992958,"e111",1992,0.0237427207,5,"L"
"Aster ericoides",0.272846,NA,NA,1997,7,14,195,10.2,0,32.696,0.0718992958,"e111",1992,NA,5,"F"
"Aster ericoides",0.104,NA,NA,1997,8,25,237,10.2,0,32.696,0.0718992958,"e111",1992,NA,5,"F"
"Asclepias tuberosa",0.504842,NA,NA,1997,7,14,195,12,0,44.479,0.0718992958,"e111",1992,0.0156063053,5,"F"
"Asclepias tuberosa",0.1351,NA,NA,1997,8,25,237,12,0,44.479,0.0718992958,"e111",1992,0.0156063053,5,"F"
"Ambrosia artemisiifolia elatior",0.246977,NA,NA,1997,7,14,195,13.1,0,34.739,0.0718992958,"e111",1992,0.0149842576,5,"F"
"Ambrosia artemisiifolia elatior",0.0924,NA,NA,1997,8,25,237,13.1,0,34.739,0.0718992958,"e111",1992,0.0149842576,5,"F"
"Andropogon gerardi",0.141077,NA,NA,1997,7,14,195,15,0,55,0.0718992958,"e111",1992,0.0085112007,5,"C4"
"Andropogon gerardi",0.0368,NA,NA,1997,8,25,237,15,0,55,0.0718992958,"e111",1992,0.0085112007,5,"C4"
"Anemone cylindrica",0.492345,NA,NA,1997,7,14,195,18,0,64.478,0.0718992958,"e111",1992,0.0106473105,5,"F"
"Anemone cylindrica",0.0739,NA,NA,1997,8,25,237,18,0,64.478,0.0718992958,"e111",1992,0.0106473105,5,"F"
"Asclepias syriaca",1.183302,NA,NA,1997,7,14,195,20,0,20.565,0.0718992958,"e111",1992,0.0230469283,5,"F"
"Asclepias syriaca",0.1821,NA,NA,1997,8,25,237,20,0,20.565,0.0718992958,"e111",1992,0.0230469283,5,"F"
"Schizachyrium scoparium",0.05137,NA,NA,1997,7,14,195,21,0,46.478,0.0718992958,"e111",1992,0.0080523959,5,"C4"
"Schizachyrium scoparium",0.0319,NA,NA,1997,8,25,237,21,0,46.478,0.0718992958,"e111",1992,0.0080523959,5,"C4"
"Anemone cylindrica",0.192159,NA,NA,1997,7,14,195,22,0,53.347,0.0718992958,"e111",1992,0.0112592754,5,"F"
