monoculture,no3,plight,litbiomass,year,month,day,dayofyear,plot,subplot,abvbiomass,totaln,exp,yearest,atissN,age,fg
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,4,7,NA,0.055176,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,4,11,NA,0.055019,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,17,NA,0.074981,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,18,NA,0.069666,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,19,NA,0.062294,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,4,30,NA,0.070039,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,4,31,NA,0.064094,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,4,34,NA,0.062414,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,4,37,NA,0.06146,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,38,NA,0.058561,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,4,40,NA,0.047239,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,45,NA,0.062282,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,54,NA,0.056298,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,4,55,NA,0.053913,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,4,57,NA,0.051275,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,4,59,NA,0.048587,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,4,62,NA,0.049652,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,4,63,NA,0.047007,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,4,64,NA,0.0493,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,5,2,NA,0.191904,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,5,3,NA,0.18129301,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,5,4,NA,0.182633,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,5,5,NA,0.187452,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,5,7,NA,0.180995,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,5,11,NA,0.182202,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,18,NA,0.16949399,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,27,NA,0.14947,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,29,NA,0.183977,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,5,30,NA,0.167039,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,5,38,NA,0.164602,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,53,NA,0.153995,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,54,NA,0.153922,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,55,NA,0.146158,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,56,NA,0.156713,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,5,58,NA,0.13804399,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,5,59,NA,0.147158,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,5,60,NA,0.168523,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,5,61,NA,0.150809,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,5,62,NA,0.125142,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,5,63,NA,0.144995,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,6,1,NA,0.021704,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,6,2,NA,0.022553,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,6,13,NA,0.018761,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,16,NA,0.019664,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,17,NA,0.021856,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,6,18,NA,0.031015,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,20,NA,0.022573,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,6,21,NA,0.016009,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,6,25,NA,0.020208,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,26,NA,0.022693,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,6,29,NA,0.021173,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,6,31,NA,0.025157,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,6,33,NA,0.021624,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,6,35,NA,0.020049,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,6,36,NA,0.019334,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,6,42,NA,0.019458,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,6,44,NA,0.019692,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,46,NA,0.019353,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,48,NA,0.020461,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,51,NA,0.019971,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,6,52,NA,0.020131,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,1,NA,0.110597,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,2,NA,0.102661,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,4,NA,0.12746801,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,10,NA,0.105,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,7,13,NA,0.1045,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,14,NA,0.110212,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,7,18,NA,0.114417,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,7,19,NA,0.103214,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,7,23,NA,0.109652,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,7,24,NA,0.11260699,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,7,26,NA,0.10556801,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,7,27,NA,0.10825601,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,7,28,NA,0.105604,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,7,37,NA,0.113027,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,38,NA,0.108083,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,7,41,NA,0.116109,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,46,NA,0.106879,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,7,48,NA,0.113625,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,7,49,NA,0.117408,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,7,55,NA,0.10603199,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,7,58,NA,0.115704,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,8,1,NA,0.053567,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,8,2,NA,0.063309,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,8,3,NA,0.054411,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,8,5,NA,0.060007,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,8,7,NA,0.054471,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,8,10,NA,0.053379,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,13,NA,0.063916,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,14,NA,0.049977,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,15,NA,0.054799,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,16,NA,0.049421,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,8,21,NA,0.043353,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,22,NA,0.046308,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,8,23,NA,0.048637,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,8,24,NA,0.053663,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,8,27,NA,0.047643,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,8,28,NA,0.059104,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,38,NA,0.051331,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,8,42,NA,0.049389,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,8,45,NA,0.046373,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,48,NA,0.049787,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,8,63,NA,0.047393,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,9,2,NA,0.043594,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,9,3,NA,0.036069,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,9,9,NA,0.042763,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,9,10,NA,0.043323,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,11,NA,0.040812,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,9,12,NA,0.038711,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,17,NA,0.035981,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,18,NA,0.039684,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,20,NA,0.037171,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,27,NA,0.038045,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,28,NA,0.035548,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,9,36,NA,0.041614,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,9,38,NA,0.043308,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,9,39,NA,0.041235,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,9,40,NA,0.045331,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,9,52,NA,0.04106,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,53,NA,0.039693,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,9,56,NA,0.041359,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,9,59,NA,0.035538,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,9,62,NA,0.028088,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,9,64,NA,0.036435,e026,1985,NA,0,C4
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,1,NA,0.041021,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,3,NA,0.043456,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,9,NA,0.053624,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,10,NA,0.044795,e026,1985,NA,0,C3
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,10,12,NA,0.044878,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,10,15,NA,0.039192,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,10,16,NA,0.042851,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,10,23,NA,0.048336,e026,1985,NA,0,C4
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,10,27,NA,0.049628,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,10,34,NA,0.048636,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,10,35,NA,0.054307,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,38,NA,0.053432,e026,1985,NA,0,C3
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,10,39,NA,0.054114,e026,1985,NA,0,C4
Schizachyrium scoparium,NA,NA,NA,1985,NA,NA,NA,10,42,NA,0.056031,e026,1985,NA,0,C4
Poa pratensis,NA,NA,NA,1985,NA,NA,NA,10,43,NA,0.04639,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,44,NA,0.048493,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,45,NA,0.05234,e026,1985,NA,0,C3
Agrostis scabra,NA,NA,NA,1985,NA,NA,NA,10,48,NA,0.049201,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,10,57,NA,0.052048,e026,1985,NA,0,C3
Agropyron repens,NA,NA,NA,1985,NA,NA,NA,10,60,NA,0.032735,e026,1985,NA,0,C3
Andropogon gerardi,NA,NA,NA,1985,NA,NA,NA,10,61,NA,0.036255,e026,1985,NA,0,C4
Agropyron repens,NA,0.5944444444,15.61772,1986,NA,NA,NA,1,4,105.61772,0.088656,e026,1985,NA,1,C3
Agrostis scabra,NA,0.7240437158,1.14219,1986,NA,NA,NA,1,8,153.37994,0.080542,e026,1985,NA,1,C3
Agrostis scabra,NA,0.3276836158,18.92774,1986,NA,NA,NA,1,9,103.28671,0.105603,e026,1985,NA,1,C3
Poa pratensis,NA,0.726519337,10.51282,1986,NA,NA,NA,1,10,98.04196,0.09024,e026,1985,NA,1,C3
Agrostis scabra,NA,0.6305555556,0.62937,1986,NA,NA,NA,1,15,161.77156,0.088833,e026,1985,NA,1,C3
Andropogon gerardi,NA,0.5058139535,12.12121,1986,NA,NA,NA,1,22,106.06061,0.089698,e026,1985,NA,1,C4
Agropyron repens,NA,0.7194444444,12.61072,1986,NA,NA,NA,1,23,115.50117,0.087801,e026,1985,NA,1,C3
Agropyron repens,NA,0.4709302326,16.45688,1986,NA,NA,NA,1,25,83.51981,0.090693,e026,1985,NA,1,C3
Agropyron repens,NA,0.5586592179,28.41492,1986,NA,NA,NA,1,30,101.49184,0.087835,e026,1985,NA,1,C3
Poa pratensis,NA,0.6536312849,5.15152,1986,NA,NA,NA,1,33,63.33333,0.087365,e026,1985,NA,1,C3
Poa pratensis,NA,0.74,5.47786,1986,NA,NA,NA,1,34,103.00699,0.096605,e026,1985,NA,1,C3
Agrostis scabra,NA,0.6988950276,0,1986,NA,NA,NA,1,36,188.04196,0.076935,e026,1985,NA,1,C3
Agropyron repens,NA,0.6098265896,24.10256,1986,NA,NA,NA,1,37,115.71096,0.09187,e026,1985,NA,1,C3
Agrostis scabra,NA,0.5514285714,0,1986,NA,NA,NA,1,41,236.92308,0.095879,e026,1985,NA,1,C3
Agrostis scabra,NA,0.6630434783,4.49883,1986,NA,NA,NA,1,43,276.03729,0.074105,e026,1985,NA,1,C3
Agrostis scabra,NA,0.7837078652,0,1986,NA,NA,NA,1,44,217.38928,0.079276,e026,1985,NA,1,C3
Schizachyrium scoparium,NA,0.5520231214,11.65501,1986,NA,NA,NA,1,53,156.55013,0.077572,e026,1985,NA,1,C4
Agrostis scabra,NA,0.6104651163,19.65035,1986,NA,NA,NA,1,54,110.37296,0.063028,e026,1985,NA,1,C3
Schizachyrium scoparium,NA,0.6938202247,0,1986,NA,NA,NA,1,55,127.52914,0.070053,e026,1985,NA,1,C4
Schizachyrium scoparium,NA,0.7620320856,6.94639,1986,NA,NA,NA,1,56,86.2704,0.061732,e026,1985,NA,1,C4
Andropogon gerardi,NA,0.8370786517,16.92308,1986,NA,NA,NA,1,63,93.0303,0.062583,e026,1985,NA,1,C4
Agropyron repens,NA,0.9972677596,6.52681,1986,NA,NA,NA,2,5,11.21212,0.025465,e026,1985,NA,1,C3
Agrostis scabra,NA,0.94,2.00466,1986,NA,NA,NA,2,8,88.04196,0.02209,e026,1985,NA,1,C3
Schizachyrium scoparium,NA,0.9981,1.37529,1986,NA,NA,NA,2,10,26.7366,0.025594,e026,1985,NA,1,C4
Agrostis scabra,NA,0.9602272727,0.74592,1986,NA,NA,NA,2,11,89.18415,0.024648,e026,1985,NA,1,C3
Schizachyrium scoparium,NA,0.9916666667,0.79254,1986,NA,NA,NA,2,13,16.62005,0.026025,e026,1985,NA,1,C4
Schizachyrium scoparium,NA,0.9981,1.49184,1986,NA,NA,NA,2,15,36.0373,0.021881,e026,1985,NA,1,C4
Agropyron repens,NA,0.9497206704,6.31702,1986,NA,NA,NA,2,18,21.88811,0.023801,e026,1985,NA,1,C3
Agropyron repens,NA,0.8910614525,11.18881,1986,NA,NA,NA,2,20,25.78089,0.021467,e026,1985,NA,1,C3
Agropyron repens,NA,0.9033149171,8.53147,1986,NA,NA,NA,2,22,30.02331,0.0243,e026,1985,NA,1,C3
Agropyron repens,NA,0.9707602339,5.31469,1986,NA,NA,NA,2,23,20.83916,0.02266,e026,1985,NA,1,C3
Agrostis scabra,NA,0.8508287293,13.35664,1986,NA,NA,NA,2,34,33.7296,0.02621,e026,1985,NA,1,C3
